Time                CORE-spark-VM       YK-spark-VM         CT-spark-VM         WT-spark-VM         CORE-kafka-VM       YK-kafka-VM         CT-kafka-VM         WT-kafka-VM         CORE-cassandra-VM   CORE-spark-cont     YK-spark-cont       CT-spark-cont       WT-spark-cont       CORE-kafka-cont     YK-kafka-cont       CT-kafka-cont       WT-kafka-cont       CORE-cassandra-cont 
1485548466               1                   2                   1                   2                   2                   3                   2                   3                   1                   3                   4                   3                   6                   8                   8                   8                   11                  2                   
1485548473               1                   2                   2                   2                   2                   3                   2                   3                   1                   3                   5                   3                   6                   8                   9                   8                   11                  3                   
1485548481               1                   2                   2                   2                   2                   3                   2                   3                   1                   3                   5                   4                   6                   8                   9                   8                   11                  3                   
1485548488               1                   2                   2                   2                   2                   3                   2                   3                   1                   3                   5                   4                   6                   8                   10                  8                   12                  3                   
1485548495               1                   2                   2                   2                   2                   3                   2                   3                   1                   3                   5                   4                   6                   8                   10                  8                   12                  3                   
1485548502               1                   2                   2                   2                   2                   3                   2                   3                   1                   3                   6                   4                   6                   8                   11                  8                   12                  3                   
1485548509               1                   2                   2                   2                   2                   3                   2                   3                   1                   3                   6                   4                   6                   8                   11                  8                   12                  3                   
1485548516               1                   2                   2                   2                   2                   3                   2                   3                   1                   3                   6                   4                   6                   8                   12                  8                   12                  3                   
1485548522               1                   2                   2                   2                   2                   3                   2                   3                   1                   3                   6                   4                   6                   8                   12                  8                   12                  3                   
1485548529               1                   2                   2                   2                   2                   3                   2                   3                   1                   3                   6                   4                   6                   8                   12                  8                   12                  3                   
1485548536               1                   2                   2                   2                   3                   3                   2                   3                   1                   3                   6                   4                   6                   8                   12                  8                   12                  3                   
1485548542               1                   2                   2                   2                   3                   3                   2                   3                   1                   3                   6                   4                   6                   9                   12                  8                   12                  3                   
1485548549               1                   2                   2                   2                   3                   3                   2                   3                   1                   3                   6                   4                   6                   9                   12                  8                   12                  3                   
1485548556               1                   2                   2                   2                   3                   3                   2                   3                   1                   3                   6                   4                   6                   10                  12                  8                   12                  3                   
1485548563               1                   2                   2                   2                   3                   3                   3                   3                   1                   3                   6                   5                   6                   10                  12                  9                   12                  3                   
1485548570               2                   2                   2                   2                   3                   3                   3                   3                   1                   3                   6                   5                   6                   11                  12                  9                   12                  3                   
1485548576               2                   2                   2                   2                   3                   3                   3                   3                   1                   3                   6                   5                   6                   11                  12                  10                  12                  3                   
1485548583               2                   2                   2                   2                   3                   3                   3                   3                   1                   4                   6                   5                   6                   12                  12                  10                  12                  3                   
1485548590               2                   2                   2                   2                   3                   3                   3                   3                   1                   4                   6                   5                   6                   12                  12                  11                  12                  3                   
1485548596               2                   2                   2                   2                   3                   3                   3                   3                   1                   5                   6                   6                   6                   12                  12                  11                  12                  3                   
1485548603               2                   2                   2                   2                   3                   3                   3                   3                   1                   5                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548611               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548618               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548625               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548631               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548638               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548645               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548651               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548658               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548665               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
1485548671               2                   2                   2                   2                   3                   3                   3                   3                   1                   6                   6                   6                   6                   12                  12                  12                  12                  3                   
